ردیف;گروه;نام محصول;قیمت فاکتور (تومان);قیمت فروش (تومان);دسته فرعی;مناسب برای (برچسب تطبیق AI);وضعیت انتشار;توضیح کوتاه
1;آرایشی/بهداشتی;شامپو بدن شیر/سر شیر طیب;1480000;2220000;hair;مو و بدن خشک;published (فروش مستقیم فروشگاه);شامپو ملایم آبرسان برای مو و بدن، مناسب استفاده روزانه
2;آرایشی/بهداشتی;ماسک مو داخل حمام پمپی ۲۵۰ میل طیب;2280000;3420000;hair;ریزش و آسیب مو;published (فروش مستقیم فروشگاه);ماسک تقویتی داخل حمام برای ترمیم موهای آسیب‌دیده
3;آرایشی/بهداشتی;کرم آبرسان پمپی ۱۲۰ میل نارگیلی ماهده;990000;1490000;face;پوست خشک و کم‌آب;published (فروش مستقیم فروشگاه);آبرسانی قوی و نرم‌کننده پوست خشک
4;آرایشی/بهداشتی;کرم ضدآفتاب آرگان نیکا;1560000;2340000;face;محافظت روزانه پوست;published (فروش مستقیم فروشگاه);محافظ پوست در برابر آفتاب، مناسب استفاده روزمره
5;آرایشی/بهداشتی;فوم شست‌وشوی گلاب;2190000;3290000;face;پاکسازی و پوست حساس;published (فروش مستقیم فروشگاه);پاک‌سازی ملایم پوست با عصاره گلاب
6;آرایشی/بهداشتی;تونر پروتئین شیر و عسل ۲۵۰ میل ماهده;2230000;3350000;face;آبرسانی و شفافیت;published (فروش مستقیم فروشگاه);تونر آبرسان برای شفافیت و لطافت پوست
7;آرایشی/بهداشتی;سرم آبرسان ماهده;2270000;3410000;face;کم‌آبی عمقی پوست;published (فروش مستقیم فروشگاه);سرم آبرسان قوی برای رفع کم‌آبی عمقی پوست
8;آرایشی/بهداشتی;لوسیون بدن ۱۲۰ میل ماهده;1350000;2030000;body;خشکی بدن;published (فروش مستقیم فروشگاه);لوسیون نرم‌کننده و آبرسان بدن
9;آرایشی/بهداشتی;صابون برنج طیب;890000;1340000;body;شست‌وشوی ملایم;published (فروش مستقیم فروشگاه);صابون ملایم با عصاره برنج برای پوست حساس
10;آرایشی/بهداشتی;پودر اسکراب صورت نیکا;890000;1340000;face;لایه‌برداری و کدری;published (فروش مستقیم فروشگاه);اسکراب لایه‌بردار برای رفع کدری پوست
11;آرایشی/بهداشتی;خمیردندان عسلی طیب - نوع زغالی;1130000;1700000;care;بهداشت دهان و دندان;published (فروش مستقیم فروشگاه);خمیردندان زغالی برای سفیدی و سلامت دهان
12;آرایشی/بهداشتی;رژ لب رولی آرگان نیکا;600000;900000;beauty;آرایش و مرطوب لب;published (فروش مستقیم فروشگاه);رژ لب رولی مغذی با روغن آرگان
13;آرایشی/بهداشتی;ریمل ۷ مغز تقویتی (پک طوسی);1090000;1640000;beauty;آرایش چشم;published (فروش مستقیم فروشگاه);ریمل حجم‌دهنده و تقویتی مژه
14;آرایشی/بهداشتی;پد تخم‌مرغی (بیوتی بلندر);380000;570000;beauty;ابزار آرایش;published (فروش مستقیم فروشگاه);اسفنج آرایش برای پخش یکنواخت کرم‌پودر
15;آرایشی/بهداشتی;پدیکور تکی حنا;410000;620000;care;بهداشت و نرمی پا;published (فروش مستقیم فروشگاه);پدیکور گیاهی حنا برای نرمی پا
16;خوراکی/تغذیه;۳ شیره فله;2250000;3380000;nutrition;تقویت عمومی مو و پوست;special_order (فقط سفارش خاص با توصیه AI);ترکیب شیره‌های سنتی برای تقویت عمومی بدن، مو و پوست
